//ƒRƒ}ƒ“ƒh,X,Y,Z,type
WAIT,120,,,
POP,50,0,0,Normal
POP,10,10,0,Boss
WAIT,120,,,
POP,0,50,0,Normal
WAIT,120,,,
POP,50,50,0,Normal
WAIT,120,,,
POP,-50,0,0,Normal
WAIT,120,,,
POP,0,50,0,Normal
WAIT,120,,,
POP,0,50,0,Normal
WAIT,120,,,
POP,0,-50,0,Normal
WAIT,120,,,
POP,25,-50,0,Normal
WAIT,120,,,
POP,50,-25,0,Normal
WAIT,120,,,
POP,25,50,0,Normal
WAIT,120,,,
POP,50,25,0,Normal
WAIT,120,,,
POP,25,25,0,Normal
WAIT,120,,,
POP,-50,-25,0,Normal
WAIT,120,,,
POP,-25,50,0,Normal
WAIT,120,,,
POP,-50,25,0,Normal
WAIT,120,,,
POP,-25,25,0,Normal
